primitive,generated_samples,reference_samples,velocity_kl,acceleration_kl
following,105836,104076,0.029416646740380394,0.0014639712120821883
lane_change,63304,64100,0.04070611335254123,0.002979396439722431
accelerating,42794,43513,0.01977827654647224,0.0030854987514049724
decelerating,43960,43831,0.022180233535846847,0.004444035005462537
overall,255894,255520,0.028020317543810177,0.002993225352168032
