scene_id,analysis_type,month,split,raw_type,trajectory_count,mean_speed_mps,lane_change_vehicle_count,collision_x,collision_y,conflict_min_dist,pair_count,primitive_prop_following,primitive_prop_lane_change,primitive_prop_accelerating,primitive_prop_decelerating
2024_09_04__15_51_18,lane_change_conflict,9,generated,"2车道车辆实线变道,与3车道车辆发生碰撞",220,14.038072693584848,99,0.0,0.0,0.0,102056,0.28973787716258215,0.6063756635585994,0.05140688175592045,0.052479577522897926
2024_09_04__15_51_41,rear_end,9,generated,3车道货车追尾,220,14.038072693584848,99,0.0,0.0,0.0,102056,0.28973787716258215,0.6063756635585994,0.05140688175592045,0.052479577522897926
2024_09_04__16_09_07,rear_end,9,generated,1车道轿车追尾,220,9.50661081073042,37,0.0,0.0,0.0,59003,0.4864864864864865,0.3696231442710316,0.07153733210071238,0.07235303714176954
2024_09_04__16_10_02,rear_end,9,generated,1车道车辆追尾,219,8.627725206545911,35,6.2,59.849999999999994,2.402082429892863,39601,0.4990288713910761,0.3190813648293963,0.08921259842519685,0.09267716535433071
2024_09_08__15_26_26,rear_end,9,generated,1车道轿车追尾,220,18.269107789369425,47,18.7,82.45,1.0049875621120885,20578,0.058342438992086354,0.9102678719247707,0.013675043872719447,0.017714645210423496
2024_09_09__21_45_15,lane_change_conflict,9,generated,"1车道货车实线变道,与2车道轿车发生碰撞",220,12.795373452419934,57,19.6,69.30000000000001,0.20000000000000284,26126,0.3479803144573693,0.5141889300779752,0.06560782308577272,0.07222293237888278
2024_09_14__18_59_33,rear_end,9,generated,1车道车辆追尾,220,16.606128081858937,185,0.0,0.0,0.0,23875,0.19643652561247216,0.7382755329303213,0.030607699650015908,0.03468024180719058
2024_09_14__20_17_53,rear_end,9,generated,1车道车辆追尾,220,11.648078264869579,122,3.6999999999999997,170.1,1.811077027627482,47552,0.33250213416003954,0.5802219526441119,0.04344700543649189,0.043828907759356606
2024_09_16__10_13_43,rear_end,9,generated,1车道连续追尾,220,15.501040934849637,61,20.0,177.4,0.282842712474613,30113,0.23038887757773188,0.6872982170384806,0.03830604112736686,0.0440068642564207
2024_09_22__10_15_33,lane_change_conflict,9,generated,"1车道车辆a实线变道后方车辆b追尾a车,后方车辆c追尾车辆b",220,12.208588263129977,77,-2.3,101.19999999999999,1.96977156035922,18734,0.3438768894803289,0.5493568089534924,0.054116763913058315,0.052649537653120415
